rank,tier,wallet,name,n_buys,n_markets,edge,t_stat,brier,winrate,mean_p
1,A,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,Erasmus.,31,6,0.3832,7.01,0.2394,1.0,0.617
2,A,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,tourists,50,11,0.1611,4.14,0.1019,1.0,0.839
3,A,0x428208cf4ff7b0aaede6dfd86969cfc823f93455,ccyy2026,74,6,0.0933,3.59,0.0586,0.662,0.569
4,A,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,weatherman825,38,8,0.0893,2.67,0.0505,0.816,0.726
5,A,0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,Car,58,17,0.048,2.21,0.0296,0.603,0.555
6,A,0xed457c7e2e3e28cf8129502010fcf8ae5b970d29,ItsFridaaayy,58,8,0.0444,2.38,0.0221,0.776,0.731
7,A,0xb3f15cc1478d529862282c40c1e91399724dbdc6,Tomdnc,20,9,0.0052,3.54,0.0001,0.8,0.795
8,A,0xb03b826a4fc9893b35d3ddf4f11be824525b6ca1,vvvvvllllllvvvvv,24,10,0.0031,2.42,0.0,0.75,0.747
9,B,0x510904c9a58f5c5ad799a1b44947077564175e9c,Logan.,16,3,0.6604,13.86,0.4724,0.938,0.277
10,B,0x874b25071e6260301efc844c86f361693ca24af0,,15,4,0.5022,5.19,0.3925,0.733,0.231
11,B,0x49b306b0c083ebf5230dce5b151ecfaf63f06486,nickbrat,25,4,0.4207,6.34,0.287,0.84,0.419
12,B,0xc798197ae9aff808af4406320f31d822ae788aab,varchar255,21,3,0.2825,2.1,0.46,0.714,0.432
13,B,0xa022ba0a68e11a78348382ff168601012d4d77f8,yungstalin,23,3,0.2338,1.86,0.4182,0.739,0.505
14,B,0xdbc45db6ba0618e6182109854e8d19a77b4f4347,0xdbc45DB6Ba0618e6182109854E8D19a77b4f4347-1774988361072,46,4,0.1412,3.07,0.1175,0.5,0.359
15,B,0x4a2892d8c3cec95e27aa4bae479d9e621528d58b,Allegon,15,3,0.1397,1.9,0.1009,0.333,0.194
16,B,0x7b64e09f384b07534dff21859a0d27b823ae8440,0x7b64e09f384b07534dfF21859A0d27b823aE8440-1774472209075,18,4,0.1029,2.28,0.0472,0.833,0.73
17,B,0x7d858550e3f39cb2f605b36e5b068a15bcb63a04,Helldiver015,18,5,0.0927,1.77,0.0577,0.167,0.074
18,B,0xafaa2576b1a904b25f0a435f76f7b158d2dff0e4,chupaps,23,7,0.0487,1.61,0.0236,0.565,0.516
19,B,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,53,21,0.0468,1.9,0.0343,0.604,0.557
20,B,0x8f7a4b414417911e7e9bd738399874792cdbdb40,duderr,37,13,0.0415,1.89,0.0196,0.865,0.823
